taxonomy	T001	T002	T003	T004	T005	T007	T008	T009	T011	T012	T013	T014	T015	T016	T017	T018	T019	T020	T021	T022	T023	T024	T025	T026	T027	T028	T029	T032	T033	T034	T035	T036	T037	T038	T039	T040	T041	T042	T044	T045	T046	T047	T048	T049	T050	T051	T052	T053	T054	T055	T056	T057	T058	T059	T061	T062	T064	T065	T067	T068	T069	T070	T071	T072	T076	T077	T079	T083	T084	T085	T087	T088
k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_gemmifera	813	25	11	892	795	626	527	418	523	138	698	44	258	688	275	262	509	6	601	47	388	46	1243	541	283	175	1895	592	136	644	481	509	224	961	117	2603	1220	4286	396	662	972	691	21	1196	1749	1368	965	2473	3528	3523	1402	2139	4136	2570	908	987	683	560	2160	3803	2844	3641	2520	7379	1908	2610	1826	2321	1143	4285	7286	1314
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium; s__Penicillium_cosmopolitanum	6	20	2	2	2	86	6	0	9	0	4	0	4	5	3	22	0	1	2	0	6	9	8	13	12	3	25	2	0	0	0	1	7	24	2	13	0	8	22	0	0	0	0	5	5	10	6	3	5	56	20	19	13	38	18	6	2	17	2	20	4	6	3	12	1	3	32	0	22	0	0	9
k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; Unclassified; Unclassified	461	853	171	223	309	148	502	446	190	1160	250	312	252	597	321	602	30	151	181	503	48	154	608	382	320	24	593	69	158	29	112	650	333	458	241	1153	134	1	153	183	4	247	293	48	29	108	175	117	185	205	79	63	237	176	176	32	201	94	67	55	64	146	38	29	36	51	328	246	584	61	118	56
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreaceae; g__Cladobotryum; s__Cladobotryum_apiculatum	15	109	0	29	26	19	51	49	65	75	48	0	50	24	4	12	60	50	60	0	11	16	6	48	33	16	18	35	0	3	5	29	22	18	6	8	43	65	4	0	13	9	4	66	74	6	23	3	24	0	0	0	0	0	8	0	2	6	14	11	15	12	2	9	8	2	49	24	2	17	1	38
k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_kuhlmanii	137	1573	3371	414	435	284	353	273	321	459	578	108	347	502	252	484	1263	601	281	629	1883	2290	532	424	1808	4945	402	736	592	1604	1690	746	321	2264	702	1367	888	1978	311	1292	2558	238	771	581	730	1929	844	518	758	671	2132	913	2197	1325	882	724	278	1807	603	873	662	1512	294	500	915	2521	626	292	251	571	2947	365
k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; Unclassified; Unclassified; Unclassified	324	1083	1767	1838	1213	272	830	1246	1422	1702	3434	5658	7622	4051	4030	2177	3083	5743	3851	1746	389	994	2548	1745	2058	3761	87	3032	2532	862	1141	3912	4684	1035	2601	1113	1570	1253	1769	3563	556	4718	2070	729	42	379	1361	211	238	353	42	22	15	12	1181	6	4	7	27	191	524	1911	7	127	574	690	364	1569	46	695	66	641
k__Fungi; p__Rozellomycota; c__Unclassified; o__GS11; Unclassified; Unclassified; Unclassified	4030	809	1600	3523	226	1297	1265	11192	933	524	1133	615	624	896	580	296	105	359	1948	127	2075	1351	868	698	1914	1920	366	2557	84	1240	448	241	4360	2909	97	757	384	1835	448	2407	888	44	75	1382	994	1110	2086	2343	3038	1680	1599	2220	4211	3757	2870	632	659	3522	3163	1159	1796	1590	1126	4028	1963	1162	2416	769	912	1884	748	851
k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola; s__Humicola_cuyabenoensis	21	1	0	63	16	58	170	17	31	9	56	47	10	33	21	28	198	18	190	3	36	71	49	169	108	14	353	34	12	6	167	135	39	114	11	37	189	38	49	4	13	51	9	71	595	149	65	988	86	60	132	133	51	81	96	23	25	326	115	214	69	72	265	24	38	14	482	23	66	49	10	18
k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; Unclassified	1233	9589	30	184	39	1081	127	8	106	21	240	17	706	28	19	253	626	8104	633	123	13011	27	18	40	838	214	362	5228	5	159	116	46	9	90	4	925	96	7406	5	12	10330	2020	412	3357	38	62	370	7	2	967	0	460	5	1	71	3	3	0	135	779	4508	2	62	1623	1195	173	2093	5	3	2069	456	1651
k__Fungi; p__Basidiomycota; Unclassified; Unclassified; Unclassified; Unclassified; Unclassified	354	106	4	225	3	113	235	227	3	0	2	4	4	18	2	40	0	23	5	32	1	5	3	0	0	0	0	0	7	4	6	1	4	32	11	0	4	3	32	7	0	24	46	0	207	75	20	42	108	92	14	3	387	1170	29	384	37	105	65	208	5	2	6	78	2	0	95	69	6	4	7	0
