ncbi_genbank_assembly_accession,Checkm_completenes,Checkm_contamination,Silva.Kingdom,Silva.Phylum,Silva.Class,Silva.Order,Silva.Family,Silva.Genus,Silva.Species,Ncbi.Species,Strain,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_002633965.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii 701CbB1,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001572745.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii 3262,0,0,0,0,0,0,1,0,0,0,0,0
GCA_029893425.1,100,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Bradyrhizobium_elkanii,Bradyrhizobium elkanii,Bradyrhizobium elkanii USDA 47,1,2,2,1,1,0,1,0,0,3,3,0
GCA_003574175.1,100,0,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,Geobacter_sulfurreducens,Geobacter sulfurreducens,Geobacter sulfurreducens YM18,0,1,0,0,0,0,0,0,0,2,0,0
GCA_002896775.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Q556,0,0,0,0,0,0,1,0,0,0,0,0
GCA_002247225.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Ko Q229,0,0,0,0,0,0,1,0,0,0,0,0
GCA_003849785.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii DSTL_2,0,0,0,0,0,0,1,0,0,0,0,0
GCA_021493565.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 10,0,0,0,0,0,0,1,0,0,0,0,0
GCA_021494905.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,Coxiella_burnetii,Coxiella burnetii,Coxiella burnetii Cb NMII RSA 439 passage 01,0,0,0,0,0,0,1,0,0,0,0,0
GCA_001531905.1,100,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia_cepacia,Burkholderia cepacia,Burkholderia cepacia MSMB2210WGS,0,1,3,0,2,0,2,0,0,4,0,0
