Accession,Kingdom,Ncbi.Phylum,Ncbi.Class,Ncbi.Order,Ncbi.Family,Ncbi.Genus,Ncbi.Species,Strain,Checkm_completeness,Checkm_contamination,Genome_size,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_001276005.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans A-8,99.53,0.75,6403776,0,1,0,0,0,0,1,0,0,1,4,0
GCA_010815595.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans DN2019,99.53,0.47,6581701,0,1,0,0,0,0,1,0,0,1,3,0
GCA_001299335.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans 2789STDY5663443,97.27,0.93,6865749,0,1,0,0,0,0,1,0,0,1,3,0
GCA_001815425.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans HMSC057D05,98.88,0.47,6481690,0,1,0,0,0,0,1,0,0,1,3,0
GCA_001957055.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans 4124363476,99.53,0.47,6829649,0,1,0,0,0,0,1,0,0,1,3,0
GCA_001298935.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans 2789STDY5608630,98.68,0.47,6453571,0,1,0,0,0,0,1,0,0,1,4,0
GCA_022488545.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans A1,100,1.23,6748284,0,1,0,0,0,0,1,0,0,1,4,0
GCA_034424905.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans Ax115,99.53,0.58,6792453,0,1,0,0,0,0,1,0,0,1,4,0
GCA_000165835.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans A8,99.53,0.03,7359146,0,1,0,0,0,0,1,0,0,1,4,0
GCA_001299295.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans 2789STDY5608623,99.3,0.47,6644111,0,1,0,0,0,0,1,0,0,1,4,0
GCA_013413495.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans MTYH1,99.53,0.58,6643045,0,1,0,0,0,0,1,0,0,1,4,0
GCA_028462445.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans SCCH134 Ach223682,99.53,0.47,6433698,0,1,0,0,0,0,1,1,0,1,4,0
GCA_022488515.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Achromobacter,Achromobacter xylosoxidans,Achromobacter xylosoxidans 13463,99.53,0.58,6963805,0,1,0,0,0,0,1,0,0,1,3,0
