Accession,Kingdom,Ncbi.Phylum,Ncbi.Class,Ncbi.Order,Ncbi.Family,Ncbi.Genus,Ncbi.Species,Strain,Sequencing_coverage,Scaffolds_number,Scaffold_N50,Scaffold_L50,Genome_size,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_020736535.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,Alternaria alternata MPI-PUGE-AT-0064,206.13,26,3089288,5,33441249,1,2,18,4,17,19,5,10,4,0,0,0
GCA_001642055.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,Alternaria alternata SRC1lrK2f,147.1,79,1097884,12,32986874,1,2,20,4,15,19,4,11,4,0,0,0
GCA_001572055.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata,Alternaria alternata Z7,200,156,1182709,9,34355870,1,2,18,4,16,18,5,11,4,0,0,0
GCA_024043155.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria arbusti,Alternaria arbusti BMP 1465,60,75,1678447,7,33977650,2,2,18,4,15,15,4,13,4,0,0,0
GCA_907166805.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria atra,Alternaria atra NA,100,43,3893166,4,39267842,1,2,19,4,16,18,4,16,4,0,0,0
GCA_013036055.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria burnsii,Alternaria burnsii CBS107.38,146,67,1805719,7,32957603,1,2,16,4,16,19,4,8,4,0,0,0
GCA_024043145.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria conjuncta,Alternaria conjuncta BMP 0040,60,175,1896824,8,36109741,2,1,16,3,15,16,3,9,4,0,0,0
GCA_042100115.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria dauci,Alternaria dauci A2016,460,10,3442401,4,34906709,1,2,18,4,13,14,4,7,4,0,0,0
GCA_004156025.2,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria gaisen,Alternaria gaisen FERA 650,78.5,27,2110033,6,34346950,1,2,19,4,17,19,4,11,4,0,0,0
GCA_023758085.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria hordeiaustralica,Alternaria hordeiaustralica BMP 2776,60,188,1053854,10,36957753,1,2,16,4,14,16,3,11,4,0,0,0
GCA_024043165.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria incomplexa,Alternaria incomplexa BMP 0042,60,91,1850413,7,33457154,2,1,17,4,17,16,4,8,4,0,0,0
GCA_023757995.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria metachromatica,Alternaria metachromatica BMP 0045,60,189,1012319,12,37283645,2,2,16,4,16,16,4,10,4,0,0,0
GCA_024043135.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria rosae,Alternaria rosae BMP 2777,60,194,938135,12,32848641,1,2,17,4,14,15,4,9,4,0,0,0
GCA_020736505.1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria rosae,Alternaria rosae MPI-PUGE-AT-0040,138.21,52,3278090,4,33831682,1,2,18,4,15,16,4,12,4,0,0,0
